email_id,email_text,category
1,Our household bins were not collected on the scheduled day.,Missed Pickup
2,Our household bins were not collected on the scheduled day. I live in a small apartment building.,Missed Pickup
3,Our household bins were not collected on the scheduled day. This concerns our residential street.,Missed Pickup
4,Our household bins were not collected on the scheduled day. Several neighbors have asked about this too.,Missed Pickup
5,Our household bins were not collected on the scheduled day. I am contacting you on behalf of our household.,Missed Pickup
6,Our household bins were not collected on the scheduled day. The issue is at our shared collection point.,Missed Pickup
7,Our household bins were not collected on the scheduled day. Please provide guidance when you have a chance.,Missed Pickup
8,Our household bins were not collected on the scheduled day. We would appreciate a response by email.,Missed Pickup
9,Our household bins were not collected on the scheduled day. I am trying to plan our household waste arrangements.,Missed Pickup
10,Our household bins were not collected on the scheduled day. This has come up during our regular waste routine.,Missed Pickup
11,Our household bins were not collected on the scheduled day. Thank you for looking into this request.,Missed Pickup
12,"The recycling truck skipped our street this morning, and the bins are still full.",Missed Pickup
13,"The recycling truck skipped our street this morning, and the bins are still full. I live in a small apartment building.",Missed Pickup
14,"The recycling truck skipped our street this morning, and the bins are still full. This concerns our residential street.",Missed Pickup
15,"The recycling truck skipped our street this morning, and the bins are still full. Several neighbors have asked about this too.",Missed Pickup
16,"The recycling truck skipped our street this morning, and the bins are still full. I am contacting you on behalf of our household.",Missed Pickup
17,"The recycling truck skipped our street this morning, and the bins are still full. The issue is at our shared collection point.",Missed Pickup
18,"The recycling truck skipped our street this morning, and the bins are still full. Please provide guidance when you have a chance.",Missed Pickup
19,"The recycling truck skipped our street this morning, and the bins are still full. We would appreciate a response by email.",Missed Pickup
20,"The recycling truck skipped our street this morning, and the bins are still full. I am trying to plan our household waste arrangements.",Missed Pickup
21,"The recycling truck skipped our street this morning, and the bins are still full. This has come up during our regular waste routine.",Missed Pickup
22,"The recycling truck skipped our street this morning, and the bins are still full. Thank you for looking into this request.",Missed Pickup
23,Our rubbish has been outside since yesterday because the scheduled pickup never arrived.,Missed Pickup
24,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. I live in a small apartment building.,Missed Pickup
25,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. This concerns our residential street.,Missed Pickup
26,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. Several neighbors have asked about this too.,Missed Pickup
27,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. I am contacting you on behalf of our household.,Missed Pickup
28,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. The issue is at our shared collection point.,Missed Pickup
29,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. Please provide guidance when you have a chance.,Missed Pickup
30,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. We would appreciate a response by email.,Missed Pickup
31,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. I am trying to plan our household waste arrangements.,Missed Pickup
32,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. This has come up during our regular waste routine.,Missed Pickup
33,Our rubbish has been outside since yesterday because the scheduled pickup never arrived. Thank you for looking into this request.,Missed Pickup
34,The collection crew passed our building without emptying the shared bins.,Missed Pickup
35,The collection crew passed our building without emptying the shared bins. I live in a small apartment building.,Missed Pickup
36,The collection crew passed our building without emptying the shared bins. This concerns our residential street.,Missed Pickup
37,The collection crew passed our building without emptying the shared bins. Several neighbors have asked about this too.,Missed Pickup
38,The collection crew passed our building without emptying the shared bins. I am contacting you on behalf of our household.,Missed Pickup
39,The collection crew passed our building without emptying the shared bins. The issue is at our shared collection point.,Missed Pickup
40,The collection crew passed our building without emptying the shared bins. Please provide guidance when you have a chance.,Missed Pickup
41,The collection crew passed our building without emptying the shared bins. We would appreciate a response by email.,Missed Pickup
42,The collection crew passed our building without emptying the shared bins. I am trying to plan our household waste arrangements.,Missed Pickup
43,The collection crew passed our building without emptying the shared bins. This has come up during our regular waste routine.,Missed Pickup
44,The collection crew passed our building without emptying the shared bins. Thank you for looking into this request.,Missed Pickup
45,"Garden waste was due today, but nobody collected it.",Missed Pickup
46,"Garden waste was due today, but nobody collected it. I live in a small apartment building.",Missed Pickup
47,"Garden waste was due today, but nobody collected it. This concerns our residential street.",Missed Pickup
48,"Garden waste was due today, but nobody collected it. Several neighbors have asked about this too.",Missed Pickup
49,"Garden waste was due today, but nobody collected it. I am contacting you on behalf of our household.",Missed Pickup
